threshold,precision,recall,f1,tp,fp,tn,fn
0.67,0.6410256410256411,0.4032258064516129,0.49504950495049505,25,14,1376,37
0.68,0.6410256410256411,0.4032258064516129,0.49504950495049505,25,14,1376,37
0.6900000000000001,0.6756756756756757,0.4032258064516129,0.5050505050505051,25,12,1378,37
0.7000000000000001,0.6857142857142857,0.3870967741935484,0.4948453608247423,24,11,1379,38
0.7100000000000001,0.7058823529411765,0.3870967741935484,0.5,24,10,1380,38
0.72,0.7058823529411765,0.3870967741935484,0.5,24,10,1380,38
0.73,0.7058823529411765,0.3870967741935484,0.5,24,10,1380,38
0.74,0.7272727272727273,0.3870967741935484,0.505263157894737,24,9,1381,38
0.75,0.7272727272727273,0.3870967741935484,0.505263157894737,24,9,1381,38
0.76,0.7272727272727273,0.3870967741935484,0.505263157894737,24,9,1381,38
0.77,0.75,0.3870967741935484,0.5106382978723403,24,8,1382,38
0.78,0.7741935483870968,0.3870967741935484,0.5161290322580645,24,7,1383,38
0.79,0.8,0.3870967741935484,0.5217391304347827,24,6,1384,38
0.8,0.7931034482758621,0.3709677419354839,0.5054945054945055,23,6,1384,39
0.81,0.7931034482758621,0.3709677419354839,0.5054945054945055,23,6,1384,39
0.8200000000000001,0.8214285714285714,0.3709677419354839,0.5111111111111112,23,5,1385,39
0.8300000000000001,0.8214285714285714,0.3709677419354839,0.5111111111111112,23,5,1385,39
0.8400000000000001,0.8214285714285714,0.3709677419354839,0.5111111111111112,23,5,1385,39
0.85,0.8214285714285714,0.3709677419354839,0.5111111111111112,23,5,1385,39
0.86,0.8214285714285714,0.3709677419354839,0.5111111111111112,23,5,1385,39
0.87,0.8518518518518519,0.3709677419354839,0.5168539325842697,23,4,1386,39
0.88,0.8846153846153846,0.3709677419354839,0.5227272727272727,23,3,1387,39
0.89,0.92,0.3709677419354839,0.5287356321839081,23,2,1388,39
0.9,0.9166666666666666,0.3548387096774194,0.5116279069767442,22,2,1388,40
0.91,0.9565217391304348,0.3548387096774194,0.5176470588235295,22,1,1389,40
0.92,0.9565217391304348,0.3548387096774194,0.5176470588235295,22,1,1389,40
0.93,1.0,0.3548387096774194,0.5238095238095238,22,0,1390,40
0.9400000000000001,1.0,0.3387096774193548,0.5060240963855421,21,0,1390,41
0.9500000000000001,1.0,0.3387096774193548,0.5060240963855421,21,0,1390,41
0.9600000000000001,1.0,0.3387096774193548,0.5060240963855421,21,0,1390,41
0.97,1.0,0.3225806451612903,0.4878048780487805,20,0,1390,42
0.98,1.0,0.25806451612903225,0.41025641025641024,16,0,1390,46
0.99,1.0,0.22580645161290322,0.3684210526315789,14,0,1390,48
